DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
9354	2851.0992	2727.0992	13.7092	-0.0051	81.9925	113.6624	-999.25	3.9609	3.0185	5.9947	24.6054	1.6477	2.5742	-999.25	55.827
9354.5	2851.2516	2727.2516	13.695	-0.0023	82.7557	111.6552	-999.25	3.7703	3.025	4.9876	25.073	1.6543	2.5719	-999.25	55.8504
9355	2851.404	2727.404	13.6873	-0.0033	82.8595	109.8615	-999.25	3.7716	3.0255	4.6541	23.8964	1.6967	2.5771	-999.25	55.5569
9355.5	2851.5564	2727.5564	13.6796	-0.0069	82.0234	109.6335	-999.25	3.9335	3.0816	4.5245	21.4259	1.7827	2.5871	-999.25	55.4714
9356	2851.7088	2727.7088	13.6657	-0.0096	80.4731	111.3994	-999.25	4.2311	3.2011	4.6063	19.9244	1.8598	2.5996	-999.25	55.9962
9356.5	2851.8612	2727.8612	13.6502	-0.0076	79.1943	113.4837	-999.25	4.5205	3.3886	5.2269	19.1601	1.8656	2.6066	-999.25	56.8252
9357	2852.0136	2728.0136	13.6347	-0.0041	78.5441	114.5062	-999.25	4.7428	3.5476	6.5285	18.7926	1.7768	2.6045	-999.25	57.5203
9357.5	2852.166	2728.166	13.6192	-0.002	78.4432	114.195	-999.25	4.8671	3.6603	7.463	19.3284	1.6774	2.597	-999.25	57.8242
9358	2852.3184	2728.3184	13.6038	-0.002	78.6884	114.439	-999.25	4.8626	3.7203	7.4683	20.5744	1.6478	2.5902	-999.25	57.8288
9358.5	2852.4708	2728.4708	13.5925	-0.0045	79.1322	115.9359	-999.25	4.7819	3.7244	6.0862	21.7397	1.7031	2.5904	-999.25	57.5908
9359	2852.6232	2728.6232	13.5817	-0.0064	79.6327	117.3434	-999.25	4.7135	3.684	5.488	22.6236	1.7521	2.5944	-999.25	57.4029
9359.5	2852.7756	2728.7756	13.5668	-0.0063	80.1369	117.9529	-999.25	4.7501	3.6138	5.7156	23.1809	1.8019	2.5911	-999.25	57.863
9360	2852.928	2728.928	13.5482	-0.0045	80.589	117.7152	-999.25	4.8149	3.5721	6.0253	23.3686	1.8475	2.5839	-999.25	58.1291
9360.5	2853.0804	2729.0804	13.5292	-0.0014	80.7766	117.3935	-999.25	4.6825	3.5625	6.3847	23.1041	1.8573	2.5817	-999.25	58.1362
